0.1048,-5.6124,1.5508,0
0.1095,-5.3725,1.5509,0
0.1143,-5.1325,1.5509,0
0.1191,-4.8925,1.5509,0
0.1239,-4.6526,1.5509,0
0.1287,-4.4126,1.5509,0
0.1335,-4.1726,1.551,0
0.1382,-3.9326,1.551,0
0.143,-3.6927,1.551,0
0.1447,-3.4527,1.551,0
0.1525,-3.2127,1.551,0
0.1572,-2.9728,1.5511,0
0.162,-2.7328,1.5511,0
0.1667,-2.4928,1.5511,0
0.1714,-2.2528,1.5511,0
0.1762,-2.0129,1.5511,1
0.187,-1.7731,1.4994,0
0.2037,-1.5337,1.5044,1
0.2257,-1.2947,1.4527,1
0.2596,-1.0571,1.4059,1
0.3045,-0.8214,1.3593,2
0.3663,-0.5896,1.26,3
0.4557,-0.3671,1.1176,3
0.5758,-0.1595,0.9747,3
0.7243,0.0288,0.8317,3
0.898,0.1941,0.6888,3
1.0936,0.3329,0.5459,3
1.3069,0.4424,0.403,3
