0.0000,-5.5100,1.5708
0.0000,-5.2700,1.5708
0.0000,-5.0299,1.5709
0.0000,-4.7899,1.5709
0.0000,-4.5499,1.5709
-0.0001,-4.3099,1.5709
-0.0001,-4.0699,1.5709
-0.0001,-3.8298,1.5710
-0.0002,-3.5898,1.5710
-0.0002,-3.3498,1.5710
-0.0003,-3.1098,1.5710
-0.0003,-2.8698,1.5710
-0.0004,-2.6297,1.5711
-0.0004,-2.3897,1.5711
0.0058,-2.1498,1.5188
0.0238,-1.9105,1.4722
0.0468,-1.6716,1.4778
0.0753,-1.4333,1.4255
0.1219,-1.1979,1.3257
0.1849,-0.9664,1.2847
0.2640,-0.7399,1.1849
0.3699,-0.5247,1.0420
0.5054,-0.3269,0.8991
0.6676,-0.1503,0.7561
0.8534,0.0014,0.6132
1.0588,0.1250,0.4703
1.2798,0.2182,0.3274
1.5118,0.2789,0.1845
1.7501,0.3059,0.0416
1.9900,0.3053,-0.0467
2.2299,0.2955,-0.0355
2.4697,0.2870,-0.0355
2.7096,0.2784,-0.0355
2.9495,0.2699,-0.0355
3.1893,0.2614,-0.0355
3.4292,0.2529,-0.0355
3.6691,0.2444,-0.0355
3.9089,0.2359,-0.0355
4.1488,0.2273,-0.0355
4.3887,0.2188,-0.0355
4.6286,0.2103,-0.0355
4.8684,0.2018,-0.0355
5.1083,0.1933,-0.0355
5.3482,0.1848,-0.0355
5.5880,0.1763,-0.0355
5.8279,0.1678,-0.0355
6.0678,0.1592,-0.0355
6.3076,0.1507,-0.0355
6.5475,0.1422,-0.0355
